name,2010,2011,2012,2013,2014,2015,2016,2017
"Abbott city, Texas",361,362,361,357,354,354,357,363
"Abernathy city, Texas",2824,2839,2827,2802,2748,2730,2753,2753
"Abilene city, Texas",117807,118764,119852,119745,120450,121490,121590,121885
"Ackerly city, Texas",220,219,219,224,228,231,232,227
"Addison town, Texas",13091,13795,15187,15424,15475,15549,15473,15458
"Adrian city, Texas",166,167,164,168,166,166,166,171
"Agua Dulce city, Texas",811,812,819,823,820,816,814,808
"Alamo city, Texas",18586,18813,18990,19133,19307,19490,19567,19679
"Alamo Heights city, Texas",7048,7176,7329,7526,7758,7966,8219,8413
"Alba town, Texas",502,504,502,504,508,510,517,524
"Albany city, Texas",2038,1998,2013,2020,1986,1996,2007,1983
"Aledo city, Texas",2719,2760,2801,2874,3075,3369,3723,4232
"Alice city, Texas",19122,19255,19437,19446,19340,19312,19109,18949
"Allen city, Texas",84925,87724,89840,92195,94120,98044,99338,100685
"Alma town, Texas",334,338,339,345,352,360,370,378
"Alpine city, Texas",6013,6077,6012,6032,5943,5931,5972,6065
"Alto town, Texas",1227,1222,1219,1210,1206,1217,1222,1230
"Alton city, Texas",14018,14341,14769,14977,15421,15658,16803,17278
"Alvarado city, Texas",3761,3747,3754,3763,3834,3935,3959,4124
"Alvin city, Texas",24314,24730,24985,25092,25498,25770,26193,26474
"Alvord town, Texas",1333,1347,1356,1363,1372,1396,1426,1462
"Amarillo city, Texas",191255,193763,195360,196173,196997,197628,198576,199826
"Ames city, Texas",1004,1003,1009,1014,1031,1052,1080,1115
"Amherst city, Texas",722,722,714,704,694,687,684,682
"Anahuac city, Texas",2248,2238,2263,2305,2320,2333,2355,2376
"Anderson city, Texas",222,222,222,221,225,227,229,232
"Andrews city, Texas",11148,11583,12150,12682,13200,13775,13574,13472
"Angleton city, Texas",18821,18824,18882,18889,19291,19295,19384,19544
"Angus city, Texas",416,416,414,414,414,415,418,417
"Anna city, Texas",8257,8443,8556,9597,10596,11513,12147,12753
"Annetta town, Texas",2748,2755,2767,2782,2854,2934,3000,3090
"Annetta North town, Texas",497,501,503,506,515,524,531,546
"Annetta South town, Texas",506,508,509,515,522,531,538,550
"Annona town, Texas",315,310,311,305,303,298,293,295
"Anson city, Texas",2432,2398,2352,2343,2309,2321,2320,2310
"Anthony town, Texas",5037,5103,5195,5327,5434,5523,5606,5665
"Anton city, Texas",1122,1121,1123,1136,1130,1115,1104,1100
"Appleby city, Texas",473,476,478,470,471,474,473,473
"Aquilla city, Texas",109,109,109,108,107,108,108,110
"Aransas Pass city, Texas",8166,8162,8233,8326,8427,8492,8348,8265
"Archer City city, Texas",1844,1783,1776,1770,1778,1757,1753,1754
"Arcola city, Texas",1630,1699,1776,1880,1995,2110,2225,2323
"Argyle city, Texas",3264,3353,3456,3575,3732,3895,4011,4100
"Arlington city, Texas",366125,370506,375895,379223,382809,388594,394017,396394
"Arp city, Texas",968,975,980,981,987,995,1002,1004
"Asherton city, Texas",1051,1057,1093,1137,1148,1140,1119,1077
"Aspermont town, Texas",921,901,893,873,856,864,864,855
"Athens city, Texas",12706,12768,12747,12673,12656,12609,12645,12704
"Atlanta city, Texas",5665,5622,5557,5572,5543,5540,5526,5487
"Aubrey city, Texas",2627,2685,2709,2726,2818,3346,3386,3391
"Aurora city, Texas",1221,1250,1261,1273,1285,1328,1379,1434
"Austin city, Texas",806463,828700,854350,874910,900621,919974,938200,950715
"Austwell city, Texas",147,146,146,146,149,148,147,146
"Avery town, Texas",477,469,470,461,460,456,451,450
"Avinger town, Texas",444,441,436,439,434,433,431,429
"Azle city, Texas",10903,11014,11145,11226,11436,11615,12017,12495
"Bailey city, Texas",289,288,286,287,287,285,288,295
"Bailey's Prairie village, Texas",728,738,749,754,758,766,766,776
"Baird city, Texas",1491,1483,1487,1475,1467,1474,1489,1504
"Balch Springs city, Texas",23955,24420,24903,25113,25184,25284,25195,25357
"Balcones Heights city, Texas",2756,2787,2818,2844,2885,3229,3264,3277
"Ballinger city, Texas",3769,3759,3697,3645,3662,3696,3659,3656
"Balmorhea city, Texas",481,480,487,500,515,533,540,550
"Bandera city, Texas",859,853,846,837,837,846,877,898
"Bangs city, Texas",1610,1600,1591,1575,1563,1571,1573,1567
"Bardwell city, Texas",651,654,658,662,668,673,682,689
"Barry city, Texas",242,242,244,244,242,243,245,250
"Barstow city, Texas",347,349,354,366,378,378,373,370
"Bartlett city, Texas",2704,2715,2737,2747,2752,2751,2766,2776
"Bartonville town, Texas",1573,1608,1625,1638,1661,1680,1699,1732
"Bastrop city, Texas",7251,7358,7390,7535,7844,8195,8453,8802
"Bay City city, Texas",17610,17569,17473,17395,17313,17542,17686,17528
"Bayou Vista city, Texas",1536,1534,1543,1548,1559,1580,1603,1624
"Bayside town, Texas",326,326,322,327,331,331,329,329
"Baytown city, Texas",71865,72646,73409,75428,76040,76353,76443,76804
"Bayview town, Texas",378,379,383,388,388,389,397,398
"Beach City city, Texas",2296,2334,2393,2453,2528,2573,2627,2677
"Bear Creek village, Texas",382,386,390,396,403,418,435,445
"Beasley city, Texas",652,654,657,664,667,669,671,663
"Beaumont city, Texas",117364,117814,116882,117993,117651,118392,118921,119114
"Beckville city, Texas",846,854,853,845,844,840,832,826
"Bedford city, Texas",47076,47650,48176,48485,48834,49156,49497,49486
"Bedias city, Texas",441,444,442,444,447,454,458,466
"Bee Cave city, Texas",4045,4485,4900,5342,6017,6394,6711,6739
"Beeville city, Texas",12841,12966,13074,13234,13201,13117,13107,12937
"Bellaire city, Texas",16957,17236,17530,17946,18329,18611,18747,18797
"Bellevue city, Texas",361,359,353,353,350,349,344,347
"Bellmead city, Texas",9936,9982,10052,10127,10235,10303,10387,10503
"Bells town, Texas",1401,1393,1405,1408,1414,1435,1464,1488
"Bellville city, Texas",4092,4112,4098,4118,4157,4215,4221,4236
"Belton city, Texas",18458,18884,19338,19603,20219,20638,21006,21734
"Benavides city, Texas",1354,1351,1342,1337,1331,1311,1309,1285
